Human Ensembl,Mouse Ensembl,Mouse Gene,Mouse Uniprot,Human Gene,Human Uniprot
ENSG00000106025,ENSMUSG00000029669,Tspan12,Q8BKT6,TSPAN12,O95859
ENSG00000106028,ENSMUSG00000029911,Ssbp1,Q9CYR0,SSBP1,Q04837
ENSG00000106031,ENSMUSG00000038203,Hoxa13,Q62424,HOXA13,P31271
ENSG00000106038,ENSMUSG00000005503,Evx1,P23683,EVX1,P49640
ENSG00000106049,ENSMUSG00000029776,Hibadh,Q99L13,HIBADH,P31937
ENSG00000106052,ENSMUSG00000004535,Tax1bp1,Q3UKC1,TAX1BP1,Q86VP1
ENSG00000106066,ENSMUSG00000052955,Cpvl,Q9D3S9,CPVL,Q9H3G5
ENSG00000106069,ENSMUSG00000004633,Chn2,Q80XD1,CHN2,P52757
ENSG00000106070,ENSMUSG00000020176,Grb10,Q60760,GRB10,Q13322
ENSG00000106077,ENSMUSG00000040532,Abhd11,Q8K4F5,ABHD11,Q8NFV4
ENSG00000106078,ENSMUSG00000020173,Cobl,Q5NBX1,COBL,O75128
ENSG00000106080,ENSMUSG00000038074,Fkbp14,P59024,FKBP14,Q9NWM8
ENSG00000106086,ENSMUSG00000005225,Plekha8,Q80W71,PLEKHA8,Q96JA3
ENSG00000106089,ENSMUSG00000007207,Stx1a,O35526,STX1A,Q16623
ENSG00000106100,ENSMUSG00000038058,Nod1,Q8BHB0,NOD1,Q9Y239
ENSG00000106105,ENSMUSG00000029777,Gars1,Q9CZD3,GARS1,P41250
ENSG00000106113,ENSMUSG00000003476,Crhr2,Q60748,CRHR2,Q13324
ENSG00000106125,ENSMUSG00000038022,Mindy4,Q3UQI9,MINDY4,Q4G0A6
ENSG00000106128,ENSMUSG00000004654,Ghrhr,P32082,GHRHR,Q02643
ENSG00000106144,ENSMUSG00000029863,Casp2,P29594,CASP2,P42575
ENSG00000106153,ENSMUSG00000070493,Chchd2,Q9D1L0,CHCHD2,Q9Y6H1
ENSG00000106178,ENSMUSG00000004814,Ccl24,Q9JKC0,CCL24,O00175
ENSG00000106211,ENSMUSG00000004951,Hspb1,P14602,HSPB1,P04792
ENSG00000106236,ENSMUSG00000059991,Nptx2,O70340,NPTX2,P47972
ENSG00000106244,ENSMUSG00000029623,Pdap1,Q3UHX2,PDAP1,Q13442
ENSG00000106245,ENSMUSG00000038722,Bud31,Q6PGH1,BUD31,P41223
ENSG00000106246,ENSMUSG00000029624,Ptcd1,Q8C2E4,PTCD1,O75127
ENSG00000106258,ENSMUSG00000029630,Cyp3a25,O09158,CYP3A5,P20815
ENSG00000106258,ENSMUSG00000029727,Cyp3a13,Q64464,CYP3A5,P20815
ENSG00000106258,ENSMUSG00000038656,Cyp3a16,Q64481,CYP3A5,P20815
ENSG00000106258,ENSMUSG00000056035,Cyp3a11,Q64459,CYP3A5,P20815
ENSG00000106258,ENSMUSG00000075551,Cyp3a41a,Q9JMA7,CYP3A5,P20815
ENSG00000106261,ENSMUSG00000029729,Zkscan1,Q8BGS3,ZKSCAN1,P17029
ENSG00000106263,ENSMUSG00000056076,Eif3b,Q8JZQ9,EIF3B,P55884
ENSG00000106266,ENSMUSG00000029560,Snx8,Q8CFD4,SNX8,Q9Y5X2
ENSG00000106268,ENSMUSG00000036639,Nudt1,P53368,NUDT1,P36639
ENSG00000106278,ENSMUSG00000068748,Ptprz1,B9EKR1,PTPRZ1,P23471
ENSG00000106290,ENSMUSG00000036980,Taf6,Q62311,TAF6,P49848
ENSG00000106299,ENSMUSG00000029684,Wasl,Q91YD9,WASL,O00401
ENSG00000106302,ENSMUSG00000029680,Hyal4,Q05A56,HYAL4,Q2M3T9
ENSG00000106304,ENSMUSG00000029678,Hyal5,Q812F3,SPAM1,P38567
ENSG00000106304,ENSMUSG00000029682,Spam1,P48794,SPAM1,P38567
ENSG00000106305,ENSMUSG00000029610,Aimp2,Q8R010,AIMP2,Q13155
ENSG00000106327,ENSMUSG00000029716,Tfr2,Q9JKX3,TFR2,Q9UP52
ENSG00000106328,ENSMUSG00000029707,Fscn3,Q9QXW4,FSCN3,Q9NQT6
ENSG00000106330,ENSMUSG00000037221,Mospd3,Q8BGG6,MOSPD3,O75425
ENSG00000106331,ENSMUSG00000029706,Pax4,P32115,PAX4,O43316
ENSG00000106333,ENSMUSG00000029718,Pcolce,Q61398,PCOLCE,Q15113
ENSG00000106336,ENSMUSG00000089984,Fbxo24,Q9D417,FBXO24,O75426
ENSG00000106341,ENSMUSG00000002930,Ppp1r17,Q9Z2E4,PPP1R17,O96001
ENSG00000106344,ENSMUSG00000029701,Rbm28,Q8CGC6,RBM28,Q9NW13
ENSG00000106346,ENSMUSG00000051306,Usp42,B2RQC2,USP42,Q9H9J4
ENSG00000106348,ENSMUSG00000003500,Impdh1,P50096,IMPDH1,P20839
ENSG00000106351,ENSMUSG00000029722,Agfg2,Q80WC7,AGFG2,O95081
ENSG00000106355,ENSMUSG00000091625,Lsm5,P62322,LSM5,Q9Y4Y9
ENSG00000106367,ENSMUSG00000004849,Ap1s1,P61967,AP1S1,P61966
ENSG00000106392,ENSMUSG00000042460,C1galt1,Q9JJ06,C1GALT1,Q9NS00
ENSG00000106397,ENSMUSG00000004846,Plod3,Q9R0E1,PLOD3,O60568
ENSG00000106399,ENSMUSG00000012483,Rpa3,Q9CQ71,RPA3,P35244
ENSG00000106400,ENSMUSG00000059518,Znhit1,Q8R331,ZNHIT1,O43257
ENSG00000106404,ENSMUSG00000001739,Cldn15,Q9Z0S5,CLDN15,P56746
ENSG00000106410,ENSMUSG00000029736,Nobox,Q8VIH1,NOBOX,O60393
ENSG00000106415,ENSMUSG00000029638,Glcci1,Q8K3I9,GLCCI1,Q86VQ1
ENSG00000106436,ENSMUSG00000005474,Myl10,Q62082,MYL10,Q9BUA6
ENSG00000106443,ENSMUSG00000029629,Phf14,Q9D4H9,PHF14,O94880
ENSG00000106459,ENSMUSG00000058440,Nrf1,Q9WU00,NRF1,Q16656
ENSG00000106460,ENSMUSG00000029571,Tmem106b,Q80X71,TMEM106B,Q9NUM4
ENSG00000106462,ENSMUSG00000029687,Ezh2,Q61188,EZH2,Q15910
ENSG00000106477,ENSMUSG00000029790,Cep41,Q99NF3,CEP41,Q9BYV8
ENSG00000106483,ENSMUSG00000021319,Sfrp4,Q9Z1N6,SFRP4,Q6FHJ7
ENSG00000106484,ENSMUSG00000051855,Mest,Q07646,MEST,Q5EB52
ENSG00000106511,ENSMUSG00000036144,Meox2,P32443,MEOX2,P50222
ENSG00000106524,ENSMUSG00000036188,Ankmy2,Q3TPE9,ANKMY2,Q8IV38
ENSG00000106526,ENSMUSG00000056367,Actr3b,Q641P0,ACTR3C,Q9C0K3
ENSG00000106537,ENSMUSG00000020577,Tspan13,Q9D8C2,TSPAN13,O95857
ENSG00000106538,ENSMUSG00000009281,Rarres2,Q9DD06,RARRES2,Q99969
ENSG00000106541,ENSMUSG00000020581,Agr2,O88312,AGR2,O95994
ENSG00000106554,ENSMUSG00000053768,Chchd3,Q9CRB9,CHCHD3,Q9NX63
ENSG00000106565,ENSMUSG00000029810,Tmem176b,Q9R1Q6,TMEM176B,Q3YBM2
ENSG00000106571,ENSMUSG00000021318,Gli3,Q61602,GLI3,P10071
ENSG00000106588,ENSMUSG00000015671,Psma2,P49722,PSMA2,P25787
ENSG00000106591,ENSMUSG00000015672,Mrpl32,Q9DCI9,MRPL32,Q9BYC8
ENSG00000106605,ENSMUSG00000001999,Blvra,Q9CY64,BLVRA,P53004
ENSG00000106608,ENSMUSG00000049680,Urgcp,Q5NCI0,URGCP,Q8TCY9
ENSG00000106609,ENSMUSG00000053094,Tmem248,Q3TBN1,TMEM248,Q9NWD8
ENSG00000106615,ENSMUSG00000028945,Rheb,Q921J2,RHEB,Q15382
ENSG00000106617,ENSMUSG00000028944,Prkag2,Q91WG5,PRKAG2,Q9UGJ0
ENSG00000106624,ENSMUSG00000020473,Aebp1,Q640N1,AEBP1,Q8IUX7
ENSG00000106628,ENSMUSG00000020471,Pold2,O35654,POLD2,P49005
ENSG00000106631,ENSMUSG00000020469,Myl7,Q9QVP4,MYL7,Q01449
ENSG00000106633,ENSMUSG00000041798,Gck,P52792,GCK,P35557
ENSG00000106635,ENSMUSG00000029681,Bcl7b,Q921K9,BCL7B,Q9BQE9
ENSG00000106636,ENSMUSG00000002741,Ykt6,Q9CQW1,YKT6,O15498
ENSG00000106638,ENSMUSG00000005374,Tbl2,Q9R099,TBL2,Q9Y4P3
ENSG00000106648,ENSMUSG00000028938,Galntl5,Q9D4M9,GALNTL5,Q7Z4T8
ENSG00000106665,ENSMUSG00000063146,Clip2,Q9Z0H8,CLIP2,Q9UDT6
ENSG00000106682,ENSMUSG00000040731,Eif4h,Q9WUK2,EIF4H,Q15056
ENSG00000106683,ENSMUSG00000029674,Limk1,P53668,LIMK1,P53667
ENSG00000106686,ENSMUSG00000064202,Spata6l,B2RV46,SPATA6L,Q8N4H0
ENSG00000106688,ENSMUSG00000024935,Slc1a1,P51906,SLC1A1,P43005
ENSG00000106689,ENSMUSG00000000247,Lhx2,Q9Z0S2,LHX2,P50458
ENSG00000106692,ENSMUSG00000028414,Fktn,Q8R507,FKTN,O75072
ENSG00000106701,ENSMUSG00000054752,Fsd1l,Q8BYN5,FSD1L,Q9BXM9
ENSG00000106723,ENSMUSG00000021395,Spin1,Q61142,SPIN1,Q9Y657
ENSG00000106733,ENSMUSG00000037847,Nmrk1,Q91W63,NMRK1,Q9NWW6
ENSG00000106771,ENSMUSG00000055296,Tmem245,B1AZA5,TMEM245,Q9H330
ENSG00000106772,ENSMUSG00000039126,Prune2,Q52KR3,PRUNE2,Q8WUY3
ENSG00000106780,ENSMUSG00000039270,Megf9,Q8BH27,MEGF9,Q9H1U4
ENSG00000106785,ENSMUSG00000039853,Trim14,Q8BVW3,TRIM14,Q14142
ENSG00000106789,ENSMUSG00000028337,Coro2a,Q8C0P5,CORO2A,Q92828
ENSG00000106799,ENSMUSG00000007613,Tgfbr1,Q64729,TGFBR1,P36897
ENSG00000106803,ENSMUSG00000053317,Sec61b,Q9CQS8,SEC61B,P60468
ENSG00000106804,ENSMUSG00000026874,Hc,P06684,C5,P01031
ENSG00000106809,ENSMUSG00000021390,Ogn,Q62000,OGN,P20774
ENSG00000106819,ENSMUSG00000021388,Aspn,Q99MQ4,ASPN,Q9BXN1
ENSG00000106823,ENSMUSG00000043631,Ecm2,Q5FW85,ECM2,O94769
ENSG00000106829,ENSMUSG00000024642,Tle4,Q62441,TLE4,Q04727
ENSG00000106852,ENSMUSG00000026890,Lhx6,Q9R1R0,LHX6,Q9UPM6
ENSG00000106853,ENSMUSG00000028378,Ptgr1,Q91YR9,PTGR1,Q14914
ENSG00000106927,ENSMUSG00000028356,Ambp,Q07456,AMBP,P02760
ENSG00000106948,ENSMUSG00000039158,Akna,Q80VW7,AKNA,Q7Z591
ENSG00000106952,ENSMUSG00000028362,Tnfsf8,P32972,TNFSF8,P32971
ENSG00000106976,ENSMUSG00000026825,Dnm1,P39053,DNM1,Q05193
ENSG00000106991,ENSMUSG00000026814,Eng,Q63961,ENG,P17813
ENSG00000106992,ENSMUSG00000026817,Ak1,Q9R0Y5,AK1,P00568
ENSG00000106993,ENSMUSG00000024780,Cdc37l1,Q9CZP7,CDC37L1,Q7L3B6
ENSG00000107020,ENSMUSG00000016495,Plgrkt,Q9D3P8,PLGRKT,Q9HBL7
ENSG00000107021,ENSMUSG00000039678,Tbc1d13,Q8R3D1,TBC1D13,Q9NVG8
ENSG00000107077,ENSMUSG00000028397,Kdm4c,Q8VCD7,KDM4C,Q9H3R0
ENSG00000107099,ENSMUSG00000052085,Dock8,Q8C147,DOCK8,Q8NF50
ENSG00000107105,ENSMUSG00000008489,Elavl2,Q60899,ELAVL2,Q12926
ENSG00000107130,ENSMUSG00000062661,Ncs1,Q8BNY6,NCS1,P62166
ENSG00000107140,ENSMUSG00000028458,Tesk1,O70146,TESK1,Q15569
ENSG00000107147,ENSMUSG00000058740,Kcnt1,Q6ZPR4,KCNT1,Q5JUK3
ENSG00000107159,ENSMUSG00000028463,Car9,Q8VHB5,CA9,Q16790
ENSG00000107165,ENSMUSG00000005994,Tyrp1,P07147,TYRP1,P17643
ENSG00000107185,ENSMUSG00000028468,Rgp1,Q8BHT7,RGP1,Q92546
ENSG00000107186,ENSMUSG00000028402,Mpdz,Q8VBX6,MPDZ,O75970
ENSG00000107187,ENSMUSG00000026934,Lhx3,P50481,LHX3,Q9UBR4
ENSG00000107201,ENSMUSG00000040296,Rigi,Q6Q899,RIGI,O95786
ENSG00000107223,ENSMUSG00000015092,Edf1,Q9JMG1,EDF1,O60869
ENSG00000107242,ENSMUSG00000024867,Pip5k1b,P70181,PIP5K1B,O14986
ENSG00000107249,ENSMUSG00000052942,Glis3,Q6XP49,GLIS3,Q8NEA6
ENSG00000107262,ENSMUSG00000028416,Bag1,Q60739,BAG1,Q99933
ENSG00000107281,ENSMUSG00000015094,Npdc1,Q64322,NPDC1,Q9NQX5
ENSG00000107282,ENSMUSG00000024897,Apba1,B2RUJ5,APBA1,Q02410
ENSG00000107290,ENSMUSG00000043535,Setx,A2AKX3,SETX,Q7Z333
ENSG00000107295,ENSMUSG00000028488,Sh3gl2,Q62420,SH3GL2,Q99962
ENSG00000107317,ENSMUSG00000015090,Ptgds,O09114,PTGDS,P41222
ENSG00000107338,ENSMUSG00000044813,Shb,Q6PD21,SHB,Q15464
ENSG00000107341,ENSMUSG00000036241,Ube2r2,Q6ZWZ2,UBE2R2,Q712K3
ENSG00000107362,ENSMUSG00000047368,Abhd17b,Q7M759,ABHD17B,Q5VST6
ENSG00000107371,ENSMUSG00000028322,Exosc3,Q7TQK4,EXOSC3,Q9NQT5
ENSG00000107372,ENSMUSG00000024750,Zfand5,O88878,ZFAND5,O76080
ENSG00000107404,ENSMUSG00000029071,Dvl1,P51141,DVL1,O14640
ENSG00000107438,ENSMUSG00000055044,Pdlim1,O70400,PDLIM1,O00151
ENSG00000107443,ENSMUSG00000025010,Ccnj,Q3TZI6,CCNJ,Q5T5M9
ENSG00000107447,ENSMUSG00000025014,Dntt,P09838,DNTT,P04053
ENSG00000107485,ENSMUSG00000015619,Gata3,P23772,GATA3,P23771
ENSG00000107518,ENSMUSG00000054843,Atrnl1,Q6A051,ATRNL1,Q5VV63
ENSG00000107537,ENSMUSG00000026664,Phyh,O35386,PHYH,O14832
ENSG00000107551,ENSMUSG00000042129,Rassf4,Q8CB96,RASSF4,Q9H2L5
ENSG00000107560,ENSMUSG00000040022,Rab11fip2,G3XA57,RAB11FIP2,Q7L804
ENSG00000107562,ENSMUSG00000061353,Cxcl12,P40224,CXCL12,P48061
ENSG00000107566,ENSMUSG00000025198,Erlin1,Q91X78,ERLIN1,O75477
ENSG00000107581,ENSMUSG00000024991,Eif3a,P23116,EIF3A,Q14152
ENSG00000107593,ENSMUSG00000037578,Pkd2l1,A2A259,PKD2L1,Q9P0L9
ENSG00000107611,ENSMUSG00000026726,Cubn,Q9JLB4,CUBN,O60494
ENSG00000107614,ENSMUSG00000026723,Trdmt1,O55055,TRDMT1,O14717
ENSG00000107625,ENSMUSG00000020076,Ddx50,Q99MJ9,DDX50,Q9BQ39
ENSG00000107643,ENSMUSG00000021936,Mapk8,Q91Y86,MAPK8,P45983
ENSG00000107669,ENSMUSG00000030850,Ate1,Q9Z2A5,ATE1,O95260
ENSG00000107679,ENSMUSG00000040268,Plekha1,Q8BUL6,PLEKHA1,Q9HB21
ENSG00000107731,ENSMUSG00000020099,Unc5b,Q8K1S3,UNC5B,Q8IZJ1
ENSG00000107736,ENSMUSG00000012819,Cdh23,Q99PF4,CDH23,Q9H251
ENSG00000107738,ENSMUSG00000020101,Vsir,Q9D659,VSIR,Q9H7M9
ENSG00000107742,ENSMUSG00000058297,Spock2,Q9ER58,SPOCK2,Q92563
ENSG00000107745,ENSMUSG00000020111,Micu1,Q8VCX5,MICU1,Q9BPX6
ENSG00000107758,ENSMUSG00000021816,Ppp3cb,P48453,PPP3CB,P16298
ENSG00000107771,ENSMUSG00000058690,Ccser2,Q3UHI0,CCSER2,Q9H7U1
ENSG00000107779,ENSMUSG00000021796,Bmpr1a,P36895,BMPR1A,P36894
ENSG00000107789,ENSMUSG00000024896,Minpp1,Q9Z2L6,MINPP1,Q9UNW1
ENSG00000107796,ENSMUSG00000035783,Acta2,P62737,ACTA2,P62736
ENSG00000107798,ENSMUSG00000024781,Lipa,Q9Z0M5,LIPA,P38571
ENSG00000107815,ENSMUSG00000025209,Twnk,Q8CIW5,TWNK,Q96RR1
ENSG00000107816,ENSMUSG00000035342,Lzts2,Q91YU6,LZTS2,Q9BRK4
ENSG00000107819,ENSMUSG00000025212,Sfxn3,Q91V61,SFXN3,Q9BWM7
ENSG00000107821,ENSMUSG00000025213,Kazald1,Q8BJ66,KAZALD1,Q96I82
ENSG00000107829,ENSMUSG00000040913,Fbxw4,Q9JMJ2,FBXW4,P57775
ENSG00000107831,ENSMUSG00000025219,Fgf8,P37237,FGF8,P55075
ENSG00000107833,ENSMUSG00000056209,Npm3,Q9CPP0,NPM3,O75607
ENSG00000107854,ENSMUSG00000024811,Tnks2,Q3UES3,TNKS2,Q9H2K2
ENSG00000107859,ENSMUSG00000025229,Pitx3,O35160,PITX3,O75364
ENSG00000107864,ENSMUSG00000039652,Cpeb3,Q7TN99,CPEB3,Q8NE35
ENSG00000107872,ENSMUSG00000025226,Fbxl15,Q91W61,FBXL15,Q9H469
ENSG00000107874,ENSMUSG00000036748,Cuedc2,Q9CXX9,CUEDC2,Q9H467
ENSG00000107882,ENSMUSG00000025231,Sufu,Q9Z0P7,SUFU,Q9UMX1
ENSG00000107897,ENSMUSG00000026781,Acbd5,Q5XG73,ACBD5,Q5T8D3
ENSG00000107902,ENSMUSG00000030946,Lhpp,Q9D7I5,LHPP,Q9H008
ENSG00000107929,ENSMUSG00000033499,Larp4b,Q6A0A2,LARP4B,Q92615
ENSG00000107937,ENSMUSG00000021149,Gtpbp4,Q99ME9,GTPBP4,Q9BZE4
ENSG00000107949,ENSMUSG00000030983,Bccip,Q9CWI3,BCCIP,Q9P287
ENSG00000107951,ENSMUSG00000024234,Mtpap,Q9D0D3,MTPAP,Q9NVV4
ENSG00000107954,ENSMUSG00000006435,Neurl1a,Q923S6,NEURL1,O76050
ENSG00000107957,ENSMUSG00000053617,Sh3pxd2a,O89032,SH3PXD2A,Q5TCZ1
ENSG00000107959,ENSMUSG00000021193,Pitrm1,Q8K411,PITRM1,Q5JRX3
ENSG00000107960,ENSMUSG00000042694,Stn1,Q8K2X3,STN1,Q9H668
ENSG00000107968,ENSMUSG00000024235,Map3k8,Q07174,MAP3K8,P41279
ENSG00000107984,ENSMUSG00000024868,Dkk1,O54908,DKK1,O94907
ENSG00000108001,ENSMUSG00000010476,Ebf3,O08791,EBF3,Q9H4W6
ENSG00000108010,ENSMUSG00000031068,Glrx3,Q9CQM9,GLRX3,O76003
ENSG00000108021,ENSMUSG00000033799,Tasor2,Q5DTT3,TASOR2,Q5VWN6
ENSG00000108039,ENSMUSG00000025027,Xpnpep1,Q6P1B1,XPNPEP1,Q9NQW7
ENSG00000108055,ENSMUSG00000024974,Smc3,Q9CW03,SMC3,Q9UQE7
ENSG00000108061,ENSMUSG00000024976,Shoc2,O88520,SHOC2,Q9UQ13
ENSG00000108064,ENSMUSG00000003923,Tfam,P40630,TFAM,Q00059
ENSG00000108091,ENSMUSG00000048701,Ccdc6,D3YZP9,CCDC6,Q16204
ENSG00000108094,ENSMUSG00000024231,Cul2,Q9D4H8,CUL2,Q13617
ENSG00000108100,ENSMUSG00000024286,Ccny,Q8BGU5,CCNY,Q8ND76
ENSG00000108106,ENSMUSG00000060860,Ube2s,Q921J4,UBE2S,Q16763
ENSG00000108107,ENSMUSG00000030432,Rpl28,P41105,RPL28,P46779
ENSG00000108175,ENSMUSG00000007817,Zmiz1,Q6P1E1,ZMIZ1,Q9ULJ6
ENSG00000108176,ENSMUSG00000036764,Dnajc12,Q9R022,DNAJC12,Q9UKB3
ENSG00000108179,ENSMUSG00000021868,Ppif,Q99KR7,PPIF,P30405
ENSG00000108187,ENSMUSG00000020072,Pbld2,Q9CXN7,PBLD,P30039
ENSG00000108187,ENSMUSG00000112129,Pbld1,Q9DCG6,PBLD,P30039
ENSG00000108219,ENSMUSG00000037824,Tspan14,Q8QZY6,TSPAN14,Q8NG11
ENSG00000108231,ENSMUSG00000067242,Lgi1,Q9JIA1,LGI1,O95970
ENSG00000108242,ENSMUSG00000025002,Cyp2c55,Q9D816,CYP2C18,P33260
ENSG00000108244,ENSMUSG00000006777,Krt23,Q99PS0,KRT23,Q9C075
ENSG00000108256,ENSMUSG00000037857,Nufip2,Q5F2E7,NUFIP2,Q7Z417
ENSG00000108262,ENSMUSG00000011877,Git1,Q68FF6,GIT1,Q9Y2X7
ENSG00000108298,ENSMUSG00000017404,Rpl19,P84099,RPL19,P84098
ENSG00000108306,ENSMUSG00000020883,Fbxl20,Q9CZV8,FBXL20,Q96IG2
ENSG00000108309,ENSMUSG00000006575,Rundc3a,O08576,RUNDC3A,Q59EK9
ENSG00000108342,ENSMUSG00000038067,Csf3,P09920,CSF3,P09919
ENSG00000108344,ENSMUSG00000017221,Psmd3,P14685,PSMD3,O43242
ENSG00000108349,ENSMUSG00000078676,Casc3,Q8K3W3,CASC3,O15234
ENSG00000108352,ENSMUSG00000038020,Rapgefl1,Q68EF8,RAPGEFL1,Q9UHV5
ENSG00000108370,ENSMUSG00000020599,Rgs9,O54828,RGS9,O75916
ENSG00000108375,ENSMUSG00000034177,Rnf43,Q5NCP0,RNF43,Q68DV7
ENSG00000108379,ENSMUSG00000000125,Wnt3,P17553,WNT3,P56703
ENSG00000108381,ENSMUSG00000020774,Aspa,Q8R3P0,ASPA,P45381
ENSG00000108384,ENSMUSG00000007646,Rad51c,Q924H5,RAD51C,O43502
ENSG00000108389,ENSMUSG00000018401,Mtmr4,Q91XS1,MTMR4,Q9NYA4
ENSG00000108395,ENSMUSG00000018548,Trim37,Q6PCX9,TRIM37,O94972
ENSG00000108405,ENSMUSG00000020787,P2rx1,P51576,P2RX1,P51575
ENSG00000108406,ENSMUSG00000018425,Dhx40,Q6PE54,DHX40,Q8IX18
ENSG00000108423,ENSMUSG00000020513,Tubd1,Q9R1K7,TUBD1,Q9UJT1
ENSG00000108424,ENSMUSG00000001440,Kpnb1,P70168,KPNB1,Q14974
ENSG00000108433,ENSMUSG00000020946,Gosr2,O35166,GOSR2,O14653
ENSG00000108439,ENSMUSG00000018659,Pnpo,Q91XF0,PNPO,Q9NVS9
ENSG00000108443,ENSMUSG00000020516,Rps6kb1,Q8BSK8,RPS6KB1,P23443
ENSG00000108465,ENSMUSG00000018669,Cdk5rap3,Q99LM2,CDK5RAP3,Q96JB5
ENSG00000108468,ENSMUSG00000018666,Cbx1,P83917,CBX1,P83916
ENSG00000108469,ENSMUSG00000020752,Recql5,Q8VID5,RECQL5,O94762
ENSG00000108474,ENSMUSG00000014245,Pigl,Q5SX19,PIGL,Q9Y2B2
ENSG00000108479,ENSMUSG00000020766,Galk1,Q9R0N0,GALK1,P51570
ENSG00000108506,ENSMUSG00000018068,Ints2,Q80UK8,INTS2,Q9H0H0
ENSG00000108509,ENSMUSG00000040712,Camta2,Q80Y50,CAMTA2,O94983
ENSG00000108510,ENSMUSG00000034297,Med13,Q5SWW4,MED13,Q9UHV7
ENSG00000108511,ENSMUSG00000000690,Hoxb6,P09023,HOXB6,P17509
ENSG00000108515,ENSMUSG00000060600,Eno3,P21550,ENO3,P13929
ENSG00000108518,ENSMUSG00000018293,Pfn1,P62962,PFN1,P07737
ENSG00000108523,ENSMUSG00000040746,Rnf167,Q91XF4,RNF167,Q9H6Y7
ENSG00000108528,ENSMUSG00000014606,Slc25a11,Q9CR62,SLC25A11,Q02978
ENSG00000108551,ENSMUSG00000049892,Rasd1,O35626,RASD1,Q9Y272
ENSG00000108556,ENSMUSG00000014609,Chrne,P20782,CHRNE,Q04844
ENSG00000108557,ENSMUSG00000062115,Rai1,Q61818,RAI1,Q7Z5J4
ENSG00000108559,ENSMUSG00000040667,Nup88,Q8CEC0,NUP88,Q99567
ENSG00000108576,ENSMUSG00000020838,Slc6a4,Q60857,SLC6A4,P31645
ENSG00000108578,ENSMUSG00000020840,Blmh,Q8R016,BLMH,Q13867
ENSG00000108582,ENSMUSG00000020841,Cpd,O89001,CPD,O75976
ENSG00000108587,ENSMUSG00000010392,Gosr1,O88630,GOSR1,O95249
ENSG00000108588,ENSMUSG00000078622,Ccdc47,Q9D024,CCDC47,Q96A33
ENSG00000108590,ENSMUSG00000020801,Med31,Q9CXU1,MED31,Q9Y3C7
ENSG00000108591,ENSMUSG00000020537,Drg2,Q9QXB9,DRG2,P55039
ENSG00000108592,ENSMUSG00000020706,Ftsj3,Q9DBE9,FTSJ3,Q8IY81
ENSG00000108599,ENSMUSG00000047804,Akap10,O88845,AKAP10,O43572
ENSG00000108602,ENSMUSG00000019102,Aldh3a1,P47739,ALDH3A1,P30838
ENSG00000108604,ENSMUSG00000078619,Smarcd2,Q99JR8,SMARCD2,Q92925
ENSG00000108622,ENSMUSG00000001029,Icam2,P35330,ICAM2,P13598
ENSG00000108639,ENSMUSG00000048277,Syngr2,O55101,SYNGR2,O43760
ENSG00000108641,ENSMUSG00000001039,B9d1,Q9R1S0,B9D1,Q9UPM9
ENSG00000108651,ENSMUSG00000035575,Utp6,Q8VCY6,UTP6,Q9NYH9
ENSG00000108666,ENSMUSG00000057181,5730455P16Rik,Q9CYI0,C17orf75,Q9HAS0
ENSG00000108669,ENSMUSG00000017132,Cyth1,Q9QX11,CYTH1,Q15438
ENSG00000108671,ENSMUSG00000017428,Psmd11,Q8BG32,PSMD11,O00231
ENSG00000108679,ENSMUSG00000033880,Lgals3bp,Q07797,LGALS3BP,Q08380
ENSG00000108684,ENSMUSG00000020704,Asic2,Q925H0,ASIC2,Q16515
ENSG00000108688,ENSMUSG00000035373,Ccl7,Q03366,CCL7,P80098
ENSG00000108700,ENSMUSG00000035352,Ccl12,Q62401,CCL8,P80075
ENSG00000108733,ENSMUSG00000018733,Pex12,Q8VC48,PEX12,O00623
ENSG00000108771,ENSMUSG00000017830,Dhx58,Q99J87,DHX58,Q96C10
ENSG00000108773,ENSMUSG00000020918,Kat2a,Q9JHD2,KAT2A,Q92830
ENSG00000108774,ENSMUSG00000019173,Rab5c,P35278,RAB5C,P51148
ENSG00000108786,ENSMUSG00000019301,Hsd17b1,P51656,HSD17B1,P14061
ENSG00000108797,ENSMUSG00000017167,Cntnap1,O54991,CNTNAP1,P78357
ENSG00000108798,ENSMUSG00000018381,Abi3,Q8BYZ1,ABI3,Q9P2A4
ENSG00000108799,ENSMUSG00000006920,Ezh1,P70351,EZH1,Q92800
ENSG00000108813,ENSMUSG00000020871,Dlx4,P70436,DLX4,Q92988
ENSG00000108819,ENSMUSG00000038976,Ppp1r9b,Q6R891,PPP1R9B,Q96SB3
ENSG00000108821,ENSMUSG00000001506,Col1a1,P11087,COL1A1,P02452
ENSG00000108823,ENSMUSG00000001508,Sgca,P82350,SGCA,Q16586
ENSG00000108826,ENSMUSG00000024414,Mrpl27,Q99N92,MRPL27,Q9P0M9
ENSG00000108828,ENSMUSG00000034993,Vat1,Q62465,VAT1,Q99536
ENSG00000108829,ENSMUSG00000020869,Lrrc59,Q922Q8,LRRC59,Q96AG4
ENSG00000108830,ENSMUSG00000001313,Rnd2,Q9QYM5,RND2,P52198
ENSG00000108839,ENSMUSG00000000320,Alox12,P39655,ALOX12,P18054
ENSG00000108846,ENSMUSG00000020865,Abcc3,B2RX12,ABCC3,O15438
